 BEGINING,TEST,HERE
"(579, 407)","(677, 408)","(700.0589743589744, 522)"
"(579, 407)","(676, 408)","(708.4144736842105, 522)"
"(580, 407)","(677, 407)","(716.3288461538461, 521)"
"(579, 407)","(677, 408)","(715.7589743589743, 543)"
"(579, 407)","(675, 408)","(650.7134615384615, 568)"
"(579, 406)","(678, 409)","(707.0625, 543)"
"(581, 406)","(678, 408)","(710.6723684210526, 487)"
"(579, 406)","(677, 407)","(700.0589743589744, 508)"
"(580, 407)","(678, 407)","(685.045512820513, 533)"
"(580, 406)","(677, 408)","(691.7823639774859, 540)"
Accuarcy Avg,37.9582763722968,N/A
Accuarcy,"[39.51631941609269, 40.59166015883026, 36.19482561553519, 37.967188939751296, 36.60055656350728, 36.386872700801675, 38.27123217588761, 40.09538750437384, 37.878331148949655, 39.55945363356528, 38.153730383809766, 36.532015881391104, 37.60354976372474, 38.11614871308484, 38.57199150490638, 39.10588055116697, 36.06708332494595, 38.59554081568009, 37.44577482195977, 37.24745601940117, 36.982943373135534, 37.598137180028495]",N/A
Precision,0.03668871812343562,N/A
=====,=====,=====
"(580, 406)","(678, 406)","(758.9381578947368, 545)"
"(578, 405)","(678, 406)","(708.1200750469044, 519)"
"(579, 406)","(678, 407)","(716.7317307692307, 552)"
"(579, 406)","(678, 406)","(732.4442307692308, 507)"
"(578, 406)","(677, 406)","(740.1282051282052, 520)"
"(579, 406)","(677, 406)","(715.7589743589743, 520)"
"(580, 406)","(678, 406)","(748.751923076923, 575)"
"(580, 405)","(676, 406)","(724.6789473684211, 519)"
"(579, 406)","(677, 406)","(722.1999999999999, 520)"
"(581, 405)","(679, 405)","(749.9423076923077, 506)"
"(579, 406)","(678, 406)","(716.7317307692307, 520)"
"(580, 405)","(678, 406)","(726.6605263157895, 519)"
"(579, 406)","(679, 406)","(749.1551282051283, 545)"
"(580, 405)","(677, 406)","(732.0413461538461, 519)"
"(579, 405)","(679, 406)","(733.0269230769231, 528)"
"(580, 405)","(679, 406)","(749.7506410256411, 519)"
"(580, 405)","(679, 405)","(749.3471153846153, 506)"
"(580, 405)","(679, 405)","(743.8039473684211, 519)"
"(579, 405)","(676, 406)","(730.8766025641024, 551)"
"(579, 405)","(678, 405)","(755.4577861163227, 519)"
"(579, 405)","(679, 405)","(765.2833333333334, 519)"
Accuarcy Avg,19.748639289964046,N/A
Accuarcy,"[22.29419725009444, 17.87309105917902, 21.07965512707882, 17.938267639279484, 19.385503453502004, 18.264219480581012, 24.18819027160222, 18.563610614621922, 18.538362679544772, 18.81498090651365, 18.304517528581293, 18.653783226029677, 21.823271528731254, 18.906146467990524, 19.69749354536674, 19.807569430820802, 18.78076806107972, 19.493522481693358, 21.520279911766732, 20.118793668772, 20.67520075641553]",N/A
Precision,0.02962101172223678,N/A
=====,=====,=====
"(584, 405)","(684, 407)","(778.3252032520325, 541)"
"(582, 405)","(680, 406)","(751.1326923076923, 506)"
"(586, 405)","(685, 406)","(795.6666666666666, 502)"
