BEGINING,TEST,HERE
"(590, 411)","(690, 412)","(773.0526315789474, 598)"
"(589, 411)","(688, 412)","(770.4006578947368, 665)"
"(590, 410)","(689, 411)","(782.5233108108108, 597)"
"(589, 410)","(688, 411)","(770.4006578947368, 572)"
"(589, 410)","(688, 411)","(753.5980263157895, 597)"
"(591, 409)","(690, 410)","(793.1902286902288, 547)"
"(590, 410)","(689, 411)","(764.6383265856949, 597)"
"(591, 409)","(689, 410)","(765.8378378378379, 547)"
"(593, 410)","(691, 411)","(790.6736842105262, 597)"
"(591, 410)","(689, 411)","(755.3684210526317, 626)"
"(591, 410)","(689, 411)","(781.8378378378378, 671)"
"(591, 409)","(689, 410)","(755.3684210526317, 558)"
"(590, 410)","(690, 411)","(756.2105263157895, 606)"
Accuarcy Avg,38.97146103338831,N/A
Accuarcy,"[36.334351058676624, 32.55814710266089, 41.72198713330889, 38.96017249483012, 41.05181511110585, 34.1072660357237, 43.00810456302808, 36.47557442798665, 39.391106717360806, 44.25729371353016, 38.776877719195426, 37.6570054529246, 40.4547631324233, 34.212153150838844, 39.80611294400092, 36.18216129780888, 38.319293880375035, 42.320324692559886, 44.20054332929881, 37.68886295474722, 40.916764788769726]",N/A
Precision,0.014924557559998339,N/A
=====,=====,=====
"(593, 409)","(694, 411)","(826.3894736842105, 663)"
"(593, 410)","(692, 411)","(775.2269736842105, 634)"
"(593, 409)","(693, 412)","(786.8060810810811, 634)"
"(593, 409)","(694, 410)","(819.7894736842105, 570)"
"(594, 409)","(693, 411)","(819.3552631578948, 633)"
"(591, 409)","(690, 410)","(772.8138157894737, 632)"
"(593, 409)","(693, 410)","(853.7128378378378, 632)"
"(592, 409)","(692, 410)","(812.3991683991683, 595)"
"(590, 409)","(691, 409)","(818.3499061913695, 594)"
"(590, 409)","(691, 410)","(834.3810810810811, 595)"
"(592, 408)","(690, 409)","(816.4087837837839, 623)"
"(590, 408)","(691, 409)","(786.3048780487804, 544)"
"(592, 407)","(690, 408)","(810.2453222453223, 555)"
"(591, 407)","(692, 409)","(807.783552631579, 630)"
"(591, 407)","(691, 408)","(790.2855263157895, 530)"
"(591, 408)","(692, 409)","(817.2415654520918, 594)"
"(591, 408)","(690, 408)","(799.7594594594595, 593)"
"(592, 406)","(690, 409)","(810.2453222453223, 555)"
"(592, 407)","(692, 408)","(824.4631578947368, 547)"
"(592, 407)","(692, 408)","(857.4078947368421, 543)"
"(591, 407)","(693, 408)","(847.1018711018711, 543)"
"(590, 408)","(690, 408)","(789.0526315789474, 556)"
Accuarcy Avg,54.74772338543298,N/A
Accuarcy,"[55.95554458054681, 57.311404555893816, 56.84536658674838, 53.92349951605361, 55.460299954783935, 57.36456420496377, 53.91342569460143, 54.844489130934484, 54.5452572084234, 53.811476987539606, 55.33658711322223, 55.02600689442487, 54.071794168191396, 55.880124215665, 54.58780028335823, 54.59691466106093, 55.37587043701302, 54.071794168191396, 53.186572643830324, 51.328801795247415, 51.896772518878585, 55.11554715995273]",N/A
Precision,0.03092076159444269,N/A
=====,=====,=====
"(591, 408)","(691, 408)","(872.0973684210527, 556)"
"(590, 407)","(689, 408)","(863.8859649122807, 568)"
"(590, 407)","(690, 408)","(860.5905006418484, 568)"
"(590, 407)","(690, 407)","(875.4871794871794, 555)"
"(590, 408)","(691, 408)","(872.2598684210527, 568)"
"(590, 407)","(690, 407)","(854.7368421052631, 508)"
"(591, 408)","(690, 408)","(849.5938086303939, 556)"
"(592, 408)","(691, 408)","(883.469298245614, 605)"
"(591, 408)","(690, 408)","(844.4075738125803, 534)"
"(589, 407)","(691, 408)","(834.1213258286429, 592)"
"(589, 407)","(688, 408)","(868.696052631579, 555)"
"(589, 407)","(690, 408)","(849.067229518449, 592)"
"(590, 407)","(690, 407)","(860.5905006418484, 567)"
"(590, 406)","(689, 408)","(886.0440789473685, 629)"
